CoInitialize(NULL), hr=0
CreateDevice, hr=0
Render states done, hr=0
Texture stage 0 done, hr=0
Texture stage 1 done, hr=0
Texture stage 2 done, hr=0
Begin shader creation, hr=0
Toon gradient added, hr=0
End shader creation, hr=0
Begin motion blur creation, hr=0
Motion blur VB creation started, hr=0
p_VertexBufferBlur1 creation done, hr=0
p_VertexBufferBlur2 creation done, hr=0
Motion blur VB creation done, hr=0
New front buffer cleared, hr=0
Old buffer cleared, hr=0
End motion blur creation, hr=0
Base matrix cration done, hr=0
