################################
Printing debug information
################################

Loading ADM.., hr=0
ADM loading done, hr=0
Auxiliary materials added, hr=0
A3D loading done, hr=0
ADL loading done, hr=0
ADO loading done, hr=0
ADP loading done, hr=0


Scene Init begin.., hr=0
Materials initialization done, hr=0

Plane21 extension calculation done, hr=0
Plane21 m_InitTextureCoordinates done, hr=0
Plane21 m_InitTriangles done, hr=0
Plane21 m_BuildVertexNormals done, hr=0
Plane21 bounding volumes done, hr=0
Plane21 m_BuildDriverStructures done, hr=0
Plane21 clearing stuff done, hr=0
Plane21 mesh initialization done, hr=0
Plane20 extension calculation done, hr=0
Plane20 m_InitTextureCoordinates done, hr=0
Plane20 m_InitTriangles done, hr=0
Plane20 m_BuildVertexNormals done, hr=0
Plane20 bounding volumes done, hr=0
Plane20 m_BuildDriverStructures done, hr=0
Plane20 clearing stuff done, hr=0
Plane20 mesh initialization done, hr=0
Plane18 extension calculation done, hr=0
Plane18 m_InitTextureCoordinates done, hr=0
Plane18 m_InitTriangles done, hr=0
Plane18 m_BuildVertexNormals done, hr=0
Plane18 bounding volumes done, hr=0
Plane18 m_BuildDriverStructures done, hr=0
Plane18 clearing stuff done, hr=0
Plane18 mesh initialization done, hr=0
Plane15 extension calculation done, hr=0
Plane15 m_InitTextureCoordinates done, hr=0
Plane15 m_InitTriangles done, hr=0
Plane15 m_BuildVertexNormals done, hr=0
Plane15 bounding volumes done, hr=0
Plane15 m_BuildDriverStructures done, hr=0
Plane15 clearing stuff done, hr=0
Plane15 mesh initialization done, hr=0
Plane13 extension calculation done, hr=0
Plane13 m_InitTextureCoordinates done, hr=0
Plane13 m_InitTriangles done, hr=0
Plane13 m_BuildVertexNormals done, hr=0
Plane13 bounding volumes done, hr=0
Plane13 m_BuildDriverStructures done, hr=0
Plane13 clearing stuff done, hr=0
Plane13 mesh initialization done, hr=0
Plane12 extension calculation done, hr=0
Plane12 m_InitTextureCoordinates done, hr=0
Plane12 m_InitTriangles done, hr=0
Plane12 m_BuildVertexNormals done, hr=0
Plane12 bounding volumes done, hr=0
Plane12 m_BuildDriverStructures done, hr=0
Plane12 clearing stuff done, hr=0
Plane12 mesh initialization done, hr=0
Plane10 extension calculation done, hr=0
Plane10 m_InitTextureCoordinates done, hr=0
Plane10 m_InitTriangles done, hr=0
Plane10 m_BuildVertexNormals done, hr=0
Plane10 bounding volumes done, hr=0
Plane10 m_BuildDriverStructures done, hr=0
Plane10 clearing stuff done, hr=0
Plane10 mesh initialization done, hr=0
Plane08 extension calculation done, hr=0
Plane08 m_InitTextureCoordinates done, hr=0
Plane08 m_InitTriangles done, hr=0
Plane08 m_BuildVertexNormals done, hr=0
Plane08 bounding volumes done, hr=0
Plane08 m_BuildDriverStructures done, hr=0
Plane08 clearing stuff done, hr=0
Plane08 mesh initialization done, hr=0
Plane05 extension calculation done, hr=0
Plane05 m_InitTextureCoordinates done, hr=0
Plane05 m_InitTriangles done, hr=0
Plane05 m_BuildVertexNormals done, hr=0
Plane05 bounding volumes done, hr=0
Plane05 m_BuildDriverStructures done, hr=0
Plane05 clearing stuff done, hr=0
Plane05 mesh initialization done, hr=0
Plane03 extension calculation done, hr=0
Plane03 m_InitTextureCoordinates done, hr=0
Plane03 m_InitTriangles done, hr=0
Plane03 m_BuildVertexNormals done, hr=0
Plane03 bounding volumes done, hr=0
Plane03 m_BuildDriverStructures done, hr=0
Plane03 clearing stuff done, hr=0
Plane03 mesh initialization done, hr=0
Plane01 extension calculation done, hr=0
Plane01 m_InitTextureCoordinates done, hr=0
Plane01 m_InitTriangles done, hr=0
Plane01 m_BuildVertexNormals done, hr=0
Plane01 bounding volumes done, hr=0
Plane01 m_BuildDriverStructures done, hr=0
Plane01 clearing stuff done, hr=0
Plane01 mesh initialization done, hr=0
Plane25 extension calculation done, hr=0
Plane25 m_InitTextureCoordinates done, hr=0
Plane25 m_InitTriangles done, hr=0
Plane25 m_BuildVertexNormals done, hr=0
Plane25 bounding volumes done, hr=0
Plane25 m_BuildDriverStructures done, hr=0
Plane25 clearing stuff done, hr=0
Plane25 mesh initialization done, hr=0
